citing_paper_id,cited_paper_id,citing_title,cited_title,citing_year,cited_year,resolution_method
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,"Cortical progenitor expansion, self-renewal and neurogenesis-a polarized perspective.",2014,2010,unresolved
10.1038_nature12886,pmid_22891323,The complete genome sequence of a Neanderthal from the Altai Mountains,Generation times in wild chimpanzees and gorillas suggest earlier divergence times in great ape and human evolution.,2014,2012,exact_pmid
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,Revisiting an old riddle: what determines genetic diversity levels within species?,2014,2012,unresolved
10.1038_nature12886,pmid_11907576,The complete genome sequence of a Neanderthal from the Altai Mountains,"Remains of Homo erectus from Bouri, Middle Awash, Ethiopia.",2014,2002,exact_pmid
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,Single-stranded DNA library preparation for the sequencing of ancient or damaged DNA.,2014,2013,unresolved
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,FIP200 is required for maintenance and differentiation of postnatal neural stem cells.,2014,2013,unresolved
10.1038_nature12886,pmid_23341637,The complete genome sequence of a Neanderthal from the Altai Mountains,"DNA analysis of an early modern human from Tianyuan Cave, China.",2014,2013,exact_pmid
10.1038_nature12886,pmid_20336068,The complete genome sequence of a Neanderthal from the Altai Mountains,The complete mitochondrial DNA genome of an unknown hominin from southern Siberia.,2014,2010,exact_pmid
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,Analysis of genetic inheritance in a family quartet by whole-genome sequencing.,2014,2010,unresolved
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,Estimating the human mutation rate using autozygosity in a founder population.,2014,2012,unresolved
10.1038_nature12886,pmid_21085596,The complete genome sequence of a Neanderthal from the Altai Mountains,Genomic runs of homozygosity record population history and consanguinity.,2014,2010,exact_pmid
10.1038_nature12886,pmid_23823723,The complete genome sequence of a Neanderthal from the Altai Mountains,Great ape genetic diversity and population history.,2014,2013,exact_pmid
10.1038_nature12886,pmid_19608918,The complete genome sequence of a Neanderthal from the Altai Mountains,Targeted retrieval and analysis of five Neandertal mtDNA genomes.,2014,2009,exact_pmid
10.1038_nature12886,,The complete genome sequence of a Neanderthal from the Altai Mountains,Recurrent 16p11.2 microdeletions in autism.,2014,2007,unresolved
10.1038_nature12886,pmid_21944045,The complete genome sequence of a Neanderthal from the Altai Mountains,Denisova admixture and the first modern human dispersals into Southeast Asia and Oceania.,2014,2011,exact_pmid
10.1038_nature12886,pmid_17715061,The complete genome sequence of a Neanderthal from the Altai Mountains,Patterns of damage in genomic DNA sequences from a Neandertal.,2014,2007,exact_pmid
10.1038_nature12886,pmid_21753753,The complete genome sequence of a Neanderthal from the Altai Mountains,Inference of human population history from individual whole-genome sequences.,2014,2011,exact_pmid
10.1038_nature12886,pmid_22893688,The complete genome sequence of a Neanderthal from the Altai Mountains,Effect of ancient population structure on the degree of polymorphism shared between modern human populations and ancient,2014,2012,exact_pmid
10.1038_nature12886,pmid_22237537,The complete genome sequence of a Neanderthal from the Altai Mountains,Analysis of high-throughput ancient DNA sequencing data.,2014,2012,exact_pmid
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,"A reference panel for linkage disequilibrium and genotype imputation using whole-genome sequencing data from 2,680 parti",2025,2026,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Archaic ancestry inference in imputed ancient human genomes,2025,2025,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Imputation and polygenic score performance of low coverage whole-genome sequencing and genotyping arrays in diverse huma,2025,2025,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,"A blended genome and exome sequencing method captures genetic variation in an unbiased, high-quality, and cost-effective",2025,2024,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Imputation accuracy across global human populations.,2025,2024,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Assessing the efficacy of target adaptive sampling long-read sequencing through hereditary cancer patient genomes,2025,2024,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,The Allen Ancient DNA Resource (AADR) a curated compendium of ancient human genomes,2025,2024,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Low-coverage whole genome sequencing for a highly selective cohort of severe COVID-19 patients,2025,2024,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,A High-Coverage Mesolithic Aurochs Genome and Effective Leveraging of Ancient Cattle Genomes Using Whole Genome Imputati,2025,2024,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Evaluation of imputation performance of multiple reference panels in a Pakistani population,2025,2023,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Population genomics of post-glacial western Eurasia,2025,2023,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Accurate detection of identity-by-descent segments in human ancient DNA,2025,2023,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Assessing the impact of post-mortem damage and contamination on imputation performance in ancient DNA,2025,2023,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Improving imputation quality in Samoans through the integration of population-specific sequences into existing reference,2025,2023,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,"Genotyping, sequencing and analysis of 140,000 adults from Mexico City",2025,2023,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,The effects of reference panel perturbations on the accuracy of genotype imputation,2025,2023,unresolved
10.1101_2025.06.24.660721,10.1101_2025.06.24.660721,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Imputation of ancient human genomes,2025,2023,fuzzy_title_0.75
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,The Allen Ancient DNA Resource (AADR): A curated compendium of ancient human genomes,2025,2023,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,A harmonized public resource of deeply sequenced diverse human genomes,2025,2023,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,"Imputation of low-coverage sequencing data from 150,119 UK Biobank genomes",2025,2022,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Analyzing the Korean reference genome with meta-imputation increased the imputation accuracy and spectrum of rare varian,2025,2022,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Accurate rare variant phasing of whole-genome and whole-exome sequencing data in the UK Biobank,2025,2022,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,MagicalRsq: Machine-learning-based genotype imputation quality calibration,2025,2022,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Meta-imputation: An efficient method to combine genotype data after imputation with multiple reference panels.,2025,2022,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Achieving improved accuracy for imputation of ancient DNA,2025,2022,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,An empirical evaluation of genotype imputation of ancient DNA,2025,2021,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,A population-specific reference panel for improved genotype imputation in African Americans,2025,2021,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Properties of 2-locus genealogies and linkage disequilibrium in temporally structured samples,2025,2021,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Rapid genotype imputation from sequence with reference panels,2025,2021,unresolved
10.1101_2025.06.24.660721,pmid_22237537,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Ancient DNA analysis,2025,2021,fuzzy_title_1.00
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,High-coverage whole-genome sequencing of the expanded 1000 Genomes Project cohort including 602 trios,2025,2021,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Evaluating genotype imputation pipeline for ultra-low coverage ancient genomes,2025,2020,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Low-coverage sequencing cost-effectively detects known and novel variation in underrepresented populations,2025,2020,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,An efficient pipeline for ancient DNA mapping and recovery of endogenous ancient DNA from whole‐genome sequencing data,2025,2020,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Efficient phasing and imputation of low-coverage sequencing data using large reference panels,2025,2020,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,"Sequencing of 53,831 diverse genomes from the NHLBI TOPMed Program",2025,2019,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Early human dispersals within the Americas,2025,2018,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Genotype Imputation from Large Reference Panels.,2025,2018,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Ancient genomes from Iceland reveal the making of a human population,2025,2018,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Four millennia of Iberian biomolecular prehistory illustrate the impact of prehistoric migrations at the far end of Eura,2025,2018,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Ancient genomes show social and reproductive behavior of early Upper Paleolithic foragers,2025,2017,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,"Southern African ancient genomes estimate modern human divergence to 350,000 to 260,000 years ago",2025,2017,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Next-generation genotype imputation service and methods,2025,2016,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Genotype Imputation with Millions of Reference Samples.,2025,2016,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Minimac2: Faster Genotype Imputation,2025,2015,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,A Coalescent Model for Genotype Imputation,2025,2012,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Fast and accurate genotype imputation in genome-wide association studies through pre-phasing,2025,2012,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,MaCH: using sequence and genotype data to estimate haplotypes and unobserved genotypes,2025,2010,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Genotype imputation for genome-wide association studies,2025,2010,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Rapid and accurate haplotype phasing and missing-data inference for whole-genome association studies by use of localized,2025,2007,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Modeling linkage disequilibrium and identifying recombination hotspots using single-nucleotide polymorphism data.,2025,2003,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,A Maximization Technique Occurring in the Statistical Analysis of Probabilistic Functions of Markov Chains,2025,1970,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,"The Soifua Manuia reference panel with 2,570 Samoan haplotypes improves genotype imputation quality among Samoans",2025,2025,unresolved
10.1101_2025.06.24.660721,,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,TopMed Imputation Server,2025,2023,unresolved
10.1101_2025.06.24.660721,pmid_23341637,MetaGLIMPSE: Meta Imputation of Low Coverage Sequencing Data for Modern and Ancient Genomes,Analysis,2025,2012,fuzzy_title_1.00
10.7554_elife.09560,pmid_41823704,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",Human Evolution,2015,2019,fuzzy_title_1.00
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",Associated Cranial and Postcranial Bones of Australopithecus boisei,2015,2017,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",The hand of Homo naledi,2015,2015,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",The foot of Homo naledi,2015,2015,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",Bayesian analysis of a morphological supermatrix sheds light on controversial fossil hominin relationships,2015,2015,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.","Geological and taphonomic context for the new hominin species Homo naledi from the Dinaledi Chamber, South Africa",2015,2015,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",On manual proportions and pad-to-pad precision grasping in Australopithecus afarensis.,2015,2014,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",Evolution of early Homo: An integrated biological perspective,2015,2014,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",On the Variability of the Dmanisi Mandibles,2015,2014,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",Early Pleistocene third metacarpal from Kenya and the evolution of modern human-like hand morphology,2015,2013,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.","First Partial Skeleton of a 1.34-Million-Year-Old Paranthropus boisei from Bed II, Olduvai Gorge, Tanzania",2015,2013,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",Reassessing manual proportions in Australopithecus afarensis.,2015,2013,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.","A Complete Skull from Dmanisi, Georgia, and the Evolutionary Biology of Early Homo",2015,2013,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",The Lower Limb and Mechanics of Walking in Australopithecus sediba,2015,2013,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",Mosaic Morphology in the Thorax of Australopithecus sediba,2015,2013,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",The Upper Limb of Australopithecus sediba,2015,2013,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.","New wrist bones of Homo floresiensis from Liang Bua (Flores, Indonesia).",2015,2013,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",The Skeletal Phenotype of “Negritos” from the Andaman Islands and Philippines Relative to Global Variation among Hunter-,2015,2013,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.","Body Size, Body Shape, and the Circumscription of the Genus Homo",2015,2012,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",New fossils from Koobi Fora in northern Kenya confirm taxonomic diversity in early Homo,2015,2012,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.","New postcranial fossils of Australopithecus afarensis from Hadar, Ethiopia (1990-2007).",2015,2012,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",Australopithecus sediba Hand Demonstrates Mosaic Evolution of Locomotor and Manipulative Abilities,2015,2011,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",The Foot and Ankle of Australopithecus sediba,2015,2011,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.","The Endocast of MH1, Australopithecus sediba",2015,2011,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.","An early Australopithecus afarensis postcranium from Woranso-Mille, Ethiopia",2015,2010,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",Australopithecus sediba: A New Species of Homo-Like Australopith from South Africa,2015,2010,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",Descriptions of the upper limb skeleton of Homo floresiensis.,2015,2009,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",How Humans Differ from Other Animals in Their Levels of Morphological Variation,2015,2009,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",The foot of Homo floresiensis,2015,2009,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",Latest information on Sterkfontein's Australopithecus skeleton and a new look at Australopithecus,2015,2008,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.",The Primitive Wrist of Homo floresiensis and Its Implications for Hominin Evolution,2015,2007,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.","Postcranial evidence from early Homo from Dmanisi, Georgia.",2015,2007,unresolved
10.7554_elife.09560,,"Homo naledi, a new species of the genus Homo from the Dinaledi Chamber, South Africa.","Implications of new early Homo fossils from Ileret, east of Lake Turkana, Kenya",2015,2007,unresolved
